Booking Window Group,Net Orders,Net Gross Booking Value USD,Booking value per order
+90 days,146611,86796145.3497,760.3046895640188
0-1 days,1221387,198301422.73539987,227.09237429567062
15-30 days,461945,145652300.16519997,465.2949986840612
2-3 days,401629,92347690.13199997,323.5224967782123
31-45 days,237072,92780522.766,539.7738424000282
4-7 days,461822,120436889.7709,372.69835854816495
46-60 days,115284,53288238.393800005,589.9635674906475
61-90 days,85195,41571081.1773,601.2978930525304
8-14 days,400711,113354496.36919999,396.96369264638514
Post Book,2614,290991.4288,118.99112597494351
