Week,Property Country,Net Orders,Net Gross Booking Value USD,Booking value per order,Net Order Percent Change,Net Gross Booking Value USD Percent Change,Booking value per order Percent Change
2016-W45,Albania,5,1137.6524,219.49685,,,
2016-W45,Algeria,6,6168.548199999999,869.7351199999999,,,
2016-W45,American Samoa,1,139.0,139.0,,,
2016-W45,Andorra,6,567.9589,94.65981666666666,,,
2016-W45,Angola,5,11909.783399999998,1974.419311111111,,,
2016-W45,Anguilla,6,6401.360000000001,980.2580000000002,,,
2016-W45,Antigua and Barbuda,23,25470.7121,1187.1295844444444,,,
2016-W45,Argentina,609,293258.5513,444.3861693547821,,,
2016-W45,Armenia,4,2569.7842,933.4351,,,
2016-W45,Aruba,85,129413.687,1473.256379929732,,,
2016-W45,Australia,6839,17430255.2221,5873.777256373219,,,
2016-W45,Austria,565,244667.50460000001,397.9450256604957,,,
2016-W45,Azerbaijan,6,5818.6401000000005,986.70504,,,
2016-W45,Bahamas,149,146249.6899,1019.8610242180042,,,
2016-W45,Bahrain,47,25419.0629,570.7491688636363,,,
2016-W45,Bangladesh,17,8783.726,445.0050333333333,,,
2016-W45,Barbados,69,60853.7465,887.9410939732143,,,
2016-W45,Belarus,3,1693.0,564.3333333333334,,,
2016-W45,Belgium,989,306424.9949,327.24228913664643,,,
2016-W45,Belize,61,41202.9201,595.8861066666667,,,
2016-W45,Bermuda,36,33157.9306,869.3273831501831,,,
2016-W45,Bolivia,44,12458.4743,288.75100897435897,,,
2016-W45,"Bonaire, Sint Eustatius and Saba",3,578.7103,194.827575,,,
2016-W45,Bosnia and Herzegovina,6,1909.8739,356.7106416666667,,,
2016-W45,Botswana,5,5970.963,1194.1925999999999,,,
2016-W45,Brazil,5081,1525061.8956,540.6337189251291,,,
2016-W45,British Virgin Islands,14,14536.3567,1157.2644095238095,,,
2016-W45,Brunei,6,2004.7177000000001,334.1196166666667,,,
2016-W45,Bulgaria,51,17093.9022,262.1988111111111,,,
2016-W45,Burundi,1,359.9982,359.9982,,,
2016-W45,Cambodia,352,76043.1896,232.65504584254998,,,
2016-W45,Cameroon,3,1187.1580000000001,395.7193333333334,,,
2016-W45,Canada,4170,1312266.6786,356.2782276947424,,,
2016-W45,Cape Verde,3,1772.4832999999999,590.8277666666667,,,
2016-W45,Cayman Islands,38,41158.7439,1308.7817020833334,,,
2016-W45,Chile,370,173696.6304,468.11583460331315,,,
2016-W45,China,1991,710691.497,391.20173107708786,,,
2016-W45,Colombia,554,230537.4334,548.1178764847997,,,
2016-W45,Cook Islands,6,5894.22,982.37,,,
2016-W45,Costa Rica,514,183707.97960000002,351.81872398722277,,,
2016-W45,Cote d'ivoire,4,2087.717,521.92925,,,
2016-W45,Croatia,146,58585.2351,323.3190249885149,,,
2016-W45,Curacao,40,33502.7654,918.5121691176471,,,
2016-W45,Cyprus,63,28516.9866,480.35663944302723,,,
2016-W45,Czech Republic,601,186846.3518,309.6781897120247,,,
2016-W45,Denmark,1002,433195.15869999997,480.51607785996447,,,
2016-W45,Djibouti,1,1369.699,1369.699,,,
2016-W45,Dominica,5,39504.09,5286.0225,,,
2016-W45,Dominican Republic,495,332091.9059,927.7870668395777,,,
2016-W45,Ecuador,131,39677.4827,296.93984555855326,,,
2016-W45,Egypt,123,55735.6267,519.2052974801587,,,
2016-W45,El Salvador,26,5526.9296,252.65281960784316,,,
2016-W45,Estonia,62,24970.804799999998,320.57253472222226,,,
2016-W45,Ethiopia,21,16805.3551,892.7251769230769,,,
2016-W45,Faroe Islands,1,182.9104,182.9104,,,
2016-W45,Fiji,75,45425.8995,612.7121418131868,,,
2016-W45,Finland,276,103017.2766,365.1886928757988,,,
2016-W45,France,3762,1872602.2914,528.9827805995523,,,
2016-W45,French Polynesia,48,59548.617399999996,970.2464066666668,,,
2016-W45,Gabon,2,1359.7736,679.8868,,,
2016-W45,Gambia,5,5094.8313,1018.9662599999999,,,
2016-W45,Georgia,6,3213.1684,544.7418799999999,,,
2016-W45,Germany,3523,1397664.9824,385.9475590478007,,,
2016-W45,Ghana,27,20158.4548,729.6886981481481,,,
2016-W45,Gibraltar,6,2909.2124,484.8687333333333,,,
2016-W45,Greece,457,203638.1474,397.68633782514877,,,
2016-W45,Grenada,15,10893.448,765.0713333333333,,,
2016-W45,Guadeloupe,9,4498.5769,537.4490047619048,,,
2016-W45,Guam,180,94954.2908,502.3490647818231,,,
2016-W45,Guatemala,104,30165.7056,335.47177095071595,,,
2016-W45,Guyana,1,1299.2,1299.2,,,
2016-W45,Haiti,18,7135.0866000000005,418.7376871794872,,,
2016-W45,Honduras,33,22284.3594,552.4531102380953,,,
2016-W45,Hong Kong,2903,996787.6515,483.67180902280626,,,
2016-W45,Hungary,363,114151.8444,313.6599455415013,,,
2016-W45,Iceland,254,101492.2006,358.95275412053604,,,
2016-W45,India,971,345398.40729999996,295.27363596051015,,,
2016-W45,Indonesia,1003,364175.8058,363.89400161648484,,,
2016-W45,Ireland,1473,395087.9324,285.73852206523014,,,
2016-W45,Israel,237,183695.2934,623.3149063531858,,,
2016-W45,Italy,3672,1505912.4531,357.68404109784143,,,
2016-W45,Jamaica,174,146781.3307,928.1859658049887,,,
2016-W45,Japan,4907,1654509.9113,434.3077416133913,,,
2016-W45,Jordan,39,16518.2287,408.2289173395446,,,
2016-W45,Kazakhstan,12,7319.3135999999995,823.3710428571428,,,
2016-W45,Kenya,42,22765.279300000002,750.8644648148148,,,
2016-W45,Kuwait,23,16101.626900000001,602.8099141025641,,,
2016-W45,Kyrgyzstan,2,740.5440000000001,370.27200000000005,,,
2016-W45,Laos,44,10544.7046,260.03048944444447,,,
2016-W45,Latvia,174,49848.9841,317.0567224093962,,,
2016-W45,Lebanon,34,21501.9769,547.1678775,,,
2016-W45,Lesotho,2,455.96349999999995,227.98174999999998,,,
2016-W45,Liechtenstein,4,2036.0116,509.0029,,,
2016-W45,Lithuania,62,21686.4379,354.15533273809524,,,
2016-W45,Luxembourg,68,29818.301,318.101659375,,,
2016-W45,Macau,452,158614.0053,353.4580168923308,,,
2016-W45,Macedonia,5,940.9448,188.18896,,,
2016-W45,Madagascar,2,196.86,98.43,,,
2016-W45,Malawi,6,2948.0189,562.9279300000001,,,
2016-W45,Malaysia,879,274881.4738,332.3879423210462,,,
2016-W45,Maldives,43,102408.0199,2589.283233580247,,,
2016-W45,Malta,91,35956.716499999995,421.97521738095236,,,
2016-W45,Martinique,3,1848.8971,616.2990333333333,,,
2016-W45,Mauritius,18,23174.547700000003,1260.96380625,,,
2016-W45,Mexico,2765,1565507.8102,730.2719625780012,,,
2016-W45,Moldova,4,2814.2122,703.55305,,,
2016-W45,Monaco,27,34319.3702,1521.9212881578949,,,
2016-W45,Mongolia,4,1644.9327,411.233175,,,
2016-W45,Montenegro,6,4088.9667,693.24622,,,
2016-W45,Morocco,209,80376.69810000001,358.64724066656544,,,
2016-W45,Mozambique,21,15768.8242,746.2155000000001,,,
2016-W45,Myanmar,87,27379.7621,352.4672636875,,,
2016-W45,Namibia,12,3616.774,332.9246,,,
2016-W45,Nepal,37,9038.3921,273.38665705128204,,,
2016-W45,Netherlands,1772,703659.1769,464.63169086600664,,,
2016-W45,New Caledonia,10,4287.616,415.40365,,,
2016-W45,New Zealand,1220,359918.1842,330.9395391447854,,,
2016-W45,Nicaragua,58,14772.6057,306.9162348214286,,,
2016-W45,Niger,1,833.44,833.44,,,
2016-W45,Nigeria,33,28026.4469,812.616142063492,,,
2016-W45,Northern Mariana Islands,27,13847.0041,475.22746679487176,,,
2016-W45,Norway,3881,1027947.5508,376.4570009886148,,,
2016-W45,Oman,50,57647.8157,1068.3284509027778,,,
2016-W45,Pakistan,4,3720.25,930.0625,,,
