Property Country,Net Order Percent Change,Net Gross Booking Value USD Total Percent Change,Booking Value per order Percent Change
Albania,0.6000000000000001,0.4479421833945063,-0.021956481705448394
Algeria,-0.33333333333333337,-0.7653920415179701,-0.5840140099206297
American Samoa,2.0,9.762230215827339,2.5874100719424464
Andorra,1.3333333333333335,5.786314995680145,1.8467316473075783
Angola,-0.6,-0.8071333522320817,-0.4183099843398119
Anguilla,0.16666666666666674,0.9246938619293399,0.7830934917134058
Antigua and Barbuda,1.0434782608695654,0.8436851633998879,-0.07885314245736286
Argentina,-0.07060755336617408,-0.229105116294694,0.037423670397393805
Armenia,-0.5,-0.888048965356702,-0.8458971598561057
Aruba,-0.11764705882352944,-0.2655628921228401,-0.060843283108023005
Australia,0.5338499780669688,-0.8255071312355939,-0.9403723622883693
Austria,0.3132743362831858,0.082313521090287,-0.1369537113734225
Azerbaijan,0.5,-0.4465680735263211,-0.5947721500391223
Bahamas,0.020134228187919545,0.1839338053871662,0.1166114016729567
Bahrain,-0.08510638297872342,-0.41925307954605995,-0.46548231196221856
Bangladesh,0.47058823529411775,0.09070073451744731,-0.12683682890042347
Barbados,-0.1159420289855072,-0.06996389449908391,0.05747556333068782
Belarus,0.0,-0.7085098050797402,-0.7085098050797402
Belgium,-0.6329625884732053,-0.7036609780163856,-0.04069864635438769
Belize,0.6885245901639345,0.746070276703519,0.1631097691219625
Benin,4.0,40.81840983173288,7.363681966346576
Bermuda,-0.38888888888888884,-0.28314983565349516,-0.03344785142372508
Bolivia,0.4318181818181819,0.12016935332121692,-0.17081552847824355
"Bonaire, Sint Eustatius and Saba",2.0,11.455506667152804,3.59667624418302
Bosnia and Herzegovina,0.33333333333333326,-0.2618458736987819,-0.5059786787502858
Botswana,0.19999999999999996,-0.030860784097975436,-0.1923839867483128
Brazil,0.71206455422161,0.013667661529107589,-0.261220047492172
British Virgin Islands,1.0,0.6244986613461405,-0.2856254284992268
Brunei,0.33333333333333326,0.22187039102812323,-0.0835468612007424
Bulgaria,0.0980392156862746,-0.18288728129028364,-0.030949364541026814
Burkina Faso,-0.5,1.5321559306325723,4.0643118612651445
Burundi,0.0,-0.7777766666611111,-0.7777766666611111
Cambodia,0.3494318181818181,0.39264445977421225,-0.09466368299906847
Cameroon,1.6666666666666665,2.295283610100761,0.2357313537877852
Canada,0.09016786570743407,0.020053968319972748,0.05346882097278027
Cape Verde,0.33333333333333326,-0.244201510953587,-0.48706687391638614
