Week,Property Country,Platform Type Name,Net Orders,Net Gross Booking Value USD,Booking value per order,Net Order Percent Change by Platform,Net Gross Booking Value USD Percent Change by Platform,Booking value per order Percent Change by Platform
2016-W45,Albania,Desktop,5,1137.6524,219.49685,,,
2016-W45,Algeria,Desktop,4,2528.803,632.20075,,,
2016-W45,Algeria,Mobile App,2,3639.7452,1819.8726,,,
2016-W45,American Samoa,Desktop,1,139.0,139.0,,,
2016-W45,Andorra,Desktop,5,490.92019999999997,98.18404,,,
2016-W45,Andorra,Mobile App,1,77.0387,77.0387,,,
2016-W45,Angola,Desktop,5,11909.783399999998,1974.419311111111,,,
2016-W45,Anguilla,Desktop,4,4914.630000000001,1138.1866666666667,,,
2016-W45,Anguilla,Mobile App,1,190.19,190.19,,,
2016-W45,Anguilla,Mobile Web,1,1296.54,1296.54,,,
2016-W45,Antigua and Barbuda,Desktop,15,10871.1006,779.5971583333334,,,
2016-W45,Antigua and Barbuda,Mobile Web,8,14599.611499999999,1652.8809285714285,,,
2016-W45,Argentina,Desktop,452,222485.98609999998,426.1911310309091,,,
2016-W45,Argentina,Mobile App,68,26493.462499999998,359.39453741496595,,,
2016-W45,Argentina,Mobile Web,89,44279.1027,550.4664150241546,,,
2016-W45,Armenia,Desktop,4,2569.7842,933.4351,,,
2016-W45,Aruba,Desktop,74,115997.0319,1601.3620491064491,,,
2016-W45,Aruba,Mobile App,6,4739.25,877.957,,,
2016-W45,Aruba,Mobile Web,5,8677.4051,1735.48102,,,
2016-W45,Australia,Desktop,4932,1782114.0408,439.8628919203289,,,
2016-W45,Australia,Mobile App,643,15277074.791,19636.266925935302,,,
2016-W45,Australia,Mobile Web,1264,371066.3903,392.16187179111097,,,
2016-W45,Austria,Desktop,431,189923.3109,372.87502005822233,,,
2016-W45,Austria,Mobile App,64,18624.4695,304.0097951149425,,,
2016-W45,Austria,Mobile Web,70,36119.7242,519.2387217676768,,,
2016-W45,Azerbaijan,Desktop,5,3384.563,624.862025,,,
2016-W45,Azerbaijan,Mobile Web,1,2434.0771,2434.0771,,,
2016-W45,Bahamas,Desktop,121,133005.7146,1214.70815182933,,,
2016-W45,Bahamas,Mobile App,12,7958.68,1101.3895,,,
2016-W45,Bahamas,Mobile Web,16,5285.2953,321.4144079365079,,,
2016-W45,Bahrain,Desktop,38,20358.7357,569.7306153571428,,,
2016-W45,Bahrain,Mobile App,6,3674.4267,638.87052,,,
2016-W45,Bahrain,Mobile Web,3,1385.9005,461.96683333333334,,,
2016-W45,Bangladesh,Desktop,13,6401.485000000001,448.4354133333333,,,
2016-W45,Bangladesh,Mobile App,1,118.9124,118.9124,,,
2016-W45,Bangladesh,Mobile Web,3,2263.3286000000003,590.89945,,,
2016-W45,Barbados,Desktop,45,42433.0334,939.6976816964286,,,
2016-W45,Barbados,Mobile App,8,4865.8364,595.2873066666667,,,
2016-W45,Barbados,Mobile Web,16,13554.8767,945.6832333333333,,,
2016-W45,Belarus,Desktop,2,1156.0,578.0,,,
2016-W45,Belarus,Mobile App,1,537.0,537.0,,,
2016-W45,Belgium,Desktop,818,252685.3604,286.80893664035295,,,
2016-W45,Belgium,Mobile App,60,13136.1224,284.3665131968811,,,
2016-W45,Belgium,Mobile Web,111,40603.5121,425.74778919383397,,,
2016-W45,Belize,Desktop,52,35767.9594,573.5626925925926,,,
2016-W45,Belize,Mobile App,4,3212.42,598.8866666666667,,,
2016-W45,Belize,Mobile Web,5,2222.5407,659.8557888888889,,,
